                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.0382,                0.70694,                 1.1365,                0.94624,                0.87023,                 0.9437,                0.75677,                0.74677,                0.43635,                0.95346,               0.001387,               0.001387,               0.001387
                     90,                 1.0358,                0.70707,                 1.1346,                0.94633,                0.87058,                0.94393,                0.75672,                0.74687,                0.43607,                0.95339,               0.001288,               0.001288,               0.001288
                     91,                 1.0177,                0.60698,                 1.1256,                0.94462,                0.87126,                 0.9439,                0.75706,                 0.7465,                 0.4358,                0.95305,               0.001189,               0.001189,               0.001189
                     92,                 1.0073,                0.59743,                   1.12,                0.94655,                0.86923,                0.94378,                0.75745,                0.74628,                0.43518,                0.95269,                0.00109,                0.00109,                0.00109
                     93,                 1.0018,                0.59465,                  1.116,                0.94615,                0.86991,                0.94358,                0.75744,                0.74592,                0.43461,                0.95242,               0.000991,               0.000991,               0.000991
                     94,                0.99468,                 0.5874,                 1.1115,                0.94679,                0.87012,                0.94341,                 0.7574,                0.74567,                0.43414,                0.95205,               0.000892,               0.000892,               0.000892
                     95,                0.99156,                0.58327,                  1.114,                0.94697,                0.86957,                0.94354,                0.75722,                0.74544,                 0.4335,                 0.9518,               0.000793,               0.000793,               0.000793
                     96,                0.98708,                0.58049,                 1.1075,                0.94718,                0.86951,                0.94362,                0.75709,                0.74518,                0.43306,                0.95144,               0.000694,               0.000694,               0.000694
                     97,                0.98356,                0.57522,                 1.1061,                0.94849,                0.86887,                0.94354,                0.75691,                0.74522,                0.43279,                 0.9511,               0.000595,               0.000595,               0.000595
                     98,                0.97576,                0.57285,                 1.1027,                0.94675,                0.87005,                0.94368,                 0.7573,                0.74515,                0.43258,                0.95071,               0.000496,               0.000496,               0.000496
                     99,                0.97205,                0.56786,                 1.1012,                0.94604,                0.87032,                0.94351,                0.75748,                0.74493,                0.43222,                0.95049,               0.000397,               0.000397,               0.000397
                    100,                 0.9712,                0.56618,                 1.1019,                0.94633,                0.87046,                0.94361,                0.75764,                  0.745,                0.43176,                0.95043,               0.000298,               0.000298,               0.000298
