                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.053,                 0.7036,                 1.1516,                0.94915,                0.88794,                0.95455,                0.77199,                0.72651,                 0.4103,                0.95442,               0.005644,               0.005644,               0.005644
                     47,                 1.0475,                0.70143,                 1.1506,                0.94897,                0.88761,                0.95467,                 0.7722,                0.72643,                 0.4099,                0.95415,               0.005545,               0.005545,               0.005545
                     48,                 1.0427,                0.69811,                 1.1435,                0.95115,                0.88528,                0.95473,                0.77249,                0.72629,                0.40911,                0.95381,               0.005446,               0.005446,               0.005446
                     49,                 1.0452,                 0.6967,                  1.149,                0.95282,                0.88459,                0.95486,                0.77274,                0.72595,                0.40862,                0.95339,               0.005347,               0.005347,               0.005347
                     50,                 1.0446,                0.69551,                 1.1495,                0.95309,                0.88518,                0.95502,                0.77281,                0.72581,                0.40769,                0.95311,               0.005248,               0.005248,               0.005248
                     51,                 1.0377,                0.68913,                 1.1446,                0.95295,                0.88519,                0.95504,                0.77318,                0.72559,                0.40751,                0.95286,               0.005149,               0.005149,               0.005149
                     52,                 1.0333,                0.68658,                 1.1408,                 0.9517,                 0.8867,                0.95492,                0.77321,                0.72531,                0.40714,                0.95254,                0.00505,                0.00505,                0.00505
                     53,                 1.0353,                0.68779,                 1.1447,                0.95187,                0.88719,                0.95507,                0.77334,                0.72527,                0.40682,                0.95254,               0.004951,               0.004951,               0.004951
                     54,                 1.0289,                0.68021,                 1.1377,                 0.9528,                0.88636,                0.95506,                0.77327,                0.72507,                0.40593,                0.95248,               0.004852,               0.004852,               0.004852
                     55,                 1.0272,                0.68038,                   1.13,                0.95336,                0.88643,                0.95519,                0.77338,                0.72495,                0.40485,                0.95193,               0.004753,               0.004753,               0.004753
                     56,                 1.0206,                0.67567,                 1.1336,                0.94974,                0.88944,                0.95494,                0.77353,                0.72478,                0.40412,                0.95143,               0.004654,               0.004654,               0.004654
                     57,                 1.0245,                0.67468,                 1.1309,                0.95062,                0.88951,                0.95495,                0.77397,                0.72474,                 0.4029,                0.95109,               0.004555,               0.004555,               0.004555
                     58,                 1.0207,                0.67097,                 1.1302,                0.95035,                0.89008,                0.95521,                0.77431,                0.72448,                0.40225,                0.95064,               0.004456,               0.004456,               0.004456
                     59,                 1.0204,                0.67148,                   1.13,                0.95064,                0.89036,                0.95533,                0.77435,                0.72419,                 0.4012,                0.94993,               0.004357,               0.004357,               0.004357
